Hz;GainL;GainR;;GainL;GainR;;;GainL;GainR;<- Original Val
20;0.10994608;0.1131874;;0.10436;0.0850606;;;0.00558608;0.0281268;
21.1851;0.10987882;0.1215597;;0.105511;0.0887853;;;0.00436782;0.0327744;
22.4404;0.09843645;0.1008753;;0.091722;0.0659445;;;0.00671445;0.0349308;
23.77;0.10364929;0.1139308;;0.0971104;0.0782654;;;0.00653889;0.0356654;
25.1785;0.12912766;0.1438573;;0.122928;0.105407;;;0.00619966;0.0384503;
26.6704;0.15640719;0.1525772;;0.147696;0.112705;;;0.00871119;0.0398722;
28.2508;0.1615827;0.1623149;;0.148597;0.128469;;;0.0129857;0.0338459;
29.9247;0.1610625;0.1500665;;0.144673;0.109647;;;0.0163895;0.0404195;
31.6979;0.1578834;0.156961;;0.143361;0.11859;;;0.0145224;0.038371;
33.5761;0.1517489;0.152834;;0.136487;0.116117;;;0.0152619;0.036717;
35.5656;0.1721849;0.1664115;;0.151575;0.127345;;;0.0206099;0.0390665;
37.673;0.1190657;0.1296639;;0.103039;0.0946293;;;0.0160267;0.0350346;
39.9052;0.1111194;0.1268855;;0.0887274;0.0905865;;;0.022392;0.036299;
42.2698;0.169963;0.144235;;0.151284;0.0967012;;;0.018679;0.0475338;
44.7744;0.2842097;0.2215131;;0.246439;0.182472;;;0.0377707;0.0390411;
47.4275;0.2702223;0.2704823;;0.22109;0.199751;;;0.0491323;0.0707313;
50.2377;0.2319901;0.2160057;;0.184799;0.159237;;;0.0471911;0.0567687;
53.2145;0.2066499;0.1597358;;0.16612;0.128786;;;0.0405299;0.0309498;
56.3677;0.1875487;0.1606823;;0.14954;0.112415;;;0.0380087;0.0482673;
59.7077;0.176877;0.1435231;;0.13231;0.110727;;;0.044567;0.0327961;
63.2456;0.2042099;0.1751129;;0.132881;0.103402;;;0.0713289;0.0717109;
66.9931;0.2168891;0.1892745;;0.13009;0.0998137;;;0.0867991;0.0894608;
70.9627;0.237024;0.1751978;;0.120264;0.0845156;;;0.11676;0.0906822;
75.1675;0.237073;0.1794911;;0.121684;0.0994228;;;0.115389;0.0800683;
79.6214;0.243781;0.2020323;;0.125538;0.109644;;;0.118243;0.0923883;
84.3393;0.291649;0.24829;;0.15376;0.124714;;;0.137889;0.123576;
89.3367;0.317244;0.269566;;0.138888;0.119377;;;0.178356;0.150189;
94.6302;0.323439;0.275489;;0.140062;0.117133;;;0.183377;0.158356;
100.237;0.32336;0.283963;;0.140604;0.127244;;;0.182756;0.156719;
106.177;0.474533;0.4012;;0.19459;0.158497;;;0.279943;0.242703;
112.468;0.418236;0.352629;;0.171143;0.134664;;;0.247093;0.217965;
119.132;0.544655;0.482297;;0.223516;0.181559;;;0.321139;0.300738;
126.191;0.508761;0.464299;;0.198539;0.160403;;;0.310222;0.303896;
133.669;0.373711;0.301445;;0.181017;0.148845;;;0.192694;0.1526;
141.589;0.37706;0.318756;;0.148107;0.125583;;;0.228953;0.193173;
149.979;0.364735;0.305786;;0.144558;0.125078;;;0.220177;0.180708;
158.866;0.302601;0.257051;;0.136692;0.117041;;;0.165909;0.14001;
168.279;0.441441;0.352606;;0.179547;0.141077;;;0.261894;0.211529;
178.25;0.524613;0.465499;;0.234855;0.190397;;;0.289758;0.275102;
188.812;0.425422;0.328353;;0.185591;0.130458;;;0.239831;0.197895;
200;0.429322;0.337661;;0.170042;0.126553;;;0.25928;0.211108;
211.851;0.3205559;0.2743536;;0.0457919;0.0451916;;;0.274764;0.229162;
224.404;0.467482;0.416854;;0.213681;0.18297;;;0.253801;0.233884;
237.7;0.206516;0.1815915;;0.069302;0.0605105;;;0.137214;0.121081;
251.785;0.436497;0.36348;;0.22727;0.19026;;;0.209227;0.17322;
266.704;0.388284;0.361435;;0.134776;0.124794;;;0.253508;0.236641;
282.508;0.302113;0.2251936;;0.107149;0.0679666;;;0.194964;0.157227;
299.247;0.393665;0.259537;;0.175365;0.118152;;;0.2183;0.141385;
316.979;0.547716;0.444978;;0.243223;0.172207;;;0.304493;0.272771;
335.761;0.469984;0.415055;;0.153874;0.126672;;;0.31611;0.288383;
355.656;0.551497;0.468694;;0.251113;0.192077;;;0.300384;0.276617;
376.73;0.521989;0.454807;;0.209049;0.171692;;;0.31294;0.283115;
399.052;0.582304;0.544793;;0.29253;0.262003;;;0.289774;0.28279;
422.698;0.569843;0.513362;;0.243755;0.214649;;;0.326088;0.298713;
447.744;0.556283;0.492826;;0.239603;0.211995;;;0.31668;0.280831;
474.275;0.541122;0.497628;;0.233265;0.203667;;;0.307857;0.293961;
502.377;0.1773668;0.175752;;0.0471198;0.055343;;;0.130247;0.120409;
532.145;0.39764;0.3747149;;0.087058;0.0894259;;;0.310582;0.285289;
