Hz,GainL,GainR
20,0.0106282,0.0140739
21.1851,0.00853063,0.012113
22.4404,0.00823233,0.0124736
23.77,0.00740074,0.0131749
25.1785,0.00847708,0.0125759
26.6704,0.018444,0.0145446
28.2508,0.0341338,0.0299301
29.9247,0.0304736,0.0260743
31.6979,0.0218022,0.0183226
33.5761,0.0197792,0.017775
35.5656,0.0167131,0.015264
37.673,0.0124559,0.0097218
39.9052,0.0109302,0.0165324
42.2698,0.0175583,0.0201583
44.7744,0.0349253,0.0344269
47.4275,0.0358472,0.0365912
50.2377,0.0214783,0.00955413
53.2145,0.0184622,0.0223364
56.3677,0.014987,0.0175727
59.7077,0.0131301,0.0110302
63.2456,0.0153746,0.0159703
66.9931,0.014028,0.0140061
70.9627,0.0154771,0.0123255
75.1675,0.0122858,0.0130808
79.6214,0.0106626,0.0132434
84.3393,0.0112009,0.0118496
89.3367,0.0129669,0.0154599
94.6302,0.0120712,0.0153348
100.237,0.0118107,0.012938
106.177,0.0188493,0.0177898
112.468,0.0175949,0.0159404
119.132,0.0264326,0.0222282
126.191,0.0173057,0.0175398
133.669,0.0059096,0.0114171
141.589,0.00527964,0.0108419
149.979,0.00240891,0.00922443
158.866,0.00563562,0.0102873
168.279,0.00760249,0.00996932
178.25,0.0110029,0.0115261
188.812,0.0443786,0.0445971
200,0.00714281,0.0172682
211.851,0.00674252,0.0170645
224.404,0.00583827,0.0194154
237.7,0.00735127,0.0190767
251.785,0.0109074,0.0162359
266.704,0.00550517,0.0141238
282.508,0.00884151,0.0146112
299.247,0.0149166,0.0187558
316.979,0.0354152,0.029071
335.761,0.0490463,0.0386391
355.656,0.0275858,0.0290065
376.73,0.0439389,0.034962
399.052,0.0862964,0.0642627
422.698,0.0755119,0.0600738
447.744,0.0709741,0.0530887
474.275,0.0582552,0.0476371
502.377,0.0394825,0.0334527
532.145,0.0720694,0.0539854
563.677,0.0261524,0.0293705
597.077,0.0638262,0.0510977
632.456,0.110555,0.0829853
669.931,0.0843131,0.0569461
709.627,0.0165575,0.0259378
751.675,0.0476158,0.0490857
796.214,0.0226375,0.0344649
843.393,0.0802943,0.0644445
893.367,0.0341912,0.0253172
946.302,0.0860344,0.0659534
1002.37,0.137546,0.10605
1061.77,0.0401328,0.0366807
1124.68,0.0222241,0.0261214
1191.32,0.0248278,0.0267353
1261.91,0.0298828,0.0233869
1336.69,0.0222733,0.0298169
1415.89,0.0379637,0.0324347
1499.79,0.0319207,0.0278508
1588.66,0.0518385,0.0347267
1682.79,0.0324346,0.0302341
1782.5,0.04224,0.0370773
1888.12,0.0487323,0.0381477
2000,0.0195038,0.0248889
2118.51,0.0461448,0.040227
2244.04,0.026447,0.0427761
2377,0.0212637,0.0254862
2517.85,0.0257924,0.0248856
2667.04,0.0135802,0.0313309
2825.08,0.0298496,0.0256399
2992.47,0.0249297,0.0225463
3169.79,0.00335896,0.0237745
3357.61,0.00459758,0.0227607
3556.56,0.00673117,0.02751
3767.3,0.00433808,0.0221762
3990.52,0.0165103,0.0226281
4226.98,0.0109649,0.0245254
4477.44,0.00259958,0.0237143
4742.75,0.0210615,0.0239613
5023.77,0.0276696,0.0280767
5321.45,0.0310886,0.0283959
5636.77,0.0176749,0.0312659
5970.77,0.0194121,0.0448988
6324.56,0.0131367,0.0411546
6699.31,0.0157785,0.0316201
7096.27,0.0186902,0.0239932
7516.75,0.0109407,0.022442
7962.14,0.00695141,0.0210936
8433.93,0.00409796,0.0201769
8933.67,0.00973713,0.0211699
9463.03,0.00355831,0.0208672
10023.7,0.00537713,0.0194572
10617.7,0.0031711,0.0191179
11246.8,0.00210621,0.0203284
11913.2,0.00235988,0.0191544
12619.1,0.00193536,0.0191803
13366.9,0.00299639,0.0196536
14158.9,0.00205492,0.0187843
14997.9,0.00143381,0.0205929
15886.6,0.00140897,0.0206679
16827.9,0.00157821,0.0212092
17825,0.00238949,0.0210721
18881.2,0.000782753,0.020723
20000,0.00102289,0.0207784
