Hz,GainL,GainR
20,0.0420531,0.0499943
21.1851,0.0419795,0.0417282
22.4404,0.0388385,0.0399596
23.77,0.0303575,0.0420718
25.1785,0.044985,0.0540235
26.6704,0.0916312,0.0776749
28.2508,0.11224,0.0877364
29.9247,0.0867845,0.0858329
31.6979,0.0845561,0.0732013
33.5761,0.0841522,0.0777782
35.5656,0.0765622,0.0502577
37.673,0.0536741,0.0630837
39.9052,0.0421773,0.061759
42.2698,0.0746915,0.0502797
44.7744,0.138099,0.108989
47.4275,0.11665,0.0630543
50.2377,0.0972605,0.105952
53.2145,0.0683481,0.0484705
56.3677,0.0585411,0.0468569
59.7077,0.053815,0.0473963
63.2456,0.0549262,0.0575518
66.9931,0.0539405,0.0576163
70.9627,0.0594814,0.054353
75.1675,0.0544375,0.0526574
79.6214,0.0491833,0.0488921
84.3393,0.050202,0.050525
89.3367,0.057742,0.0583246
94.6302,0.0593299,0.0574612
100.237,0.0703299,0.0669938
106.177,0.100714,0.0859771
112.468,0.0918883,0.078758
119.132,0.127625,0.105443
126.191,0.106708,0.0920864
133.669,0.0164784,0.036027
141.589,0.0195661,0.0358046
149.979,0.021122,0.0371309
158.866,0.0281567,0.0411895
168.279,0.0892738,0.0711101
178.25,0.108236,0.0874832
188.812,0.053332,0.0545836
200,0.0362719,0.0420252
211.851,0.00599115,0.0357612
224.404,0.0538891,0.0561541
237.7,0.0127272,0.0363191
251.785,0.0730003,0.066456
266.704,0.0289226,0.0421218
282.508,0.018373,0.0356961
299.247,0.0339833,0.0394699
316.979,0.0492568,0.0430905
335.761,0.0252515,0.0384603
355.656,0.0406772,0.0431956
376.73,0.0338,0.043144
399.052,0.0616324,0.0577154
422.698,0.0396805,0.0466352
447.744,0.0420371,0.0477652
474.275,0.0400664,0.0471969
502.377,0.00813109,0.0338472
532.145,0.0106178,0.0335113
563.677,0.0271989,0.0359686
597.077,0.0210512,0.0356738
632.456,0.00686061,0.0354583
669.931,0.0267624,0.0393636
709.627,0.00785771,0.0350583
751.675,0.0110218,0.0336477
796.214,0.00652377,0.0339211
843.393,0.00437349,0.0354989
893.367,0.00520284,0.0342835
946.302,0.00769186,0.0345416
1002.37,0.00400848,0.0333062
1061.77,0.00166857,0.0340466
1124.68,0.00315328,0.032942
1191.32,0.00296223,0.0348703
1261.91,0.00247232,0.0341711
1336.69,0.00162686,0.0347371
1415.89,0.00138133,0.0327652
1499.79,0.00203051,0.0339288
1588.66,0.00102977,0.0340314
1682.79,0.000754098,0.0345316
1782.5,0.00215782,0.0340732
1888.12,0.00131227,0.0320577
2000,0.00158538,0.0327407
2118.51,0.00205837,0.0334541
2244.04,0.00169963,0.0346403
2377,0.000966553,0.0343983
2517.85,0.00155231,0.0334832
2667.04,0.00140939,0.0339665
2825.08,0.00179615,0.0339003
2992.47,0.00134823,0.0310069
3169.79,0.000947748,0.0322754
3357.61,0.000734333,0.0323405
3556.56,0.000855636,0.0350038
3767.3,0.00115358,0.0326111
3990.52,0.000997651,0.0335416
4226.98,0.00185767,0.0330922
4477.44,0.00109923,0.0320573
4742.75,0.00147373,0.0343594
5023.77,0.00121188,0.0329089
5321.45,0.00335396,0.0332606
5636.77,0.00260287,0.0340446
5970.77,0.00417798,0.0322405
6324.56,0.00165134,0.0329963
6699.31,0.00179724,0.0351924
7096.27,0.00286167,0.0331839
7516.75,0.000811034,0.0334823
7962.14,0.0012752,0.0318744
8433.93,0.000770828,0.0320658
8933.67,0.00177338,0.033751
9463.03,0.00204544,0.031853
10023.7,0.00211955,0.0345884
10617.7,0.00143727,0.0323291
11246.8,0.000969899,0.0330446
11913.2,0.000903851,0.032291
12619.1,0.00329461,0.0356718
13366.9,0.00129072,0.0336332
14158.9,0.00230832,0.03117
14997.9,0.000985574,0.0343035
15886.6,0.00082534,0.033127
16827.9,0.00151262,0.0326536
17825,0.000880132,0.0342262
18881.2,0.000989657,0.0306703
20000,0.000840381,0.0343986
