Hz,GainL,GainR
20,0.00306376,0.030753
21.1851,0.00094173,0.0334671
22.4404,0.000777233,0.0385718
23.77,0.00209508,0.0421107
25.1785,0.00219245,0.0409683
26.6704,0.00126785,0.0411222
28.2508,0.00162683,0.0408552
29.9247,0.00203675,0.0408755
31.6979,0.00180334,0.0406037
33.5761,0.00186457,0.0415639
35.5656,0.00284989,0.0418206
37.673,0.00177409,0.0413302
39.9052,0.00157951,0.0414465
42.2698,0.00356304,0.0412958
44.7744,0.00461194,0.0406514
47.4275,0.00575605,0.0370962
50.2377,0.033368,0.0517812
53.2145,0.00489159,0.04039
56.3677,0.00452929,0.040799
59.7077,0.00490777,0.0379623
63.2456,0.00821024,0.041642
66.9931,0.0104458,0.0399795
70.9627,0.0140783,0.044956
75.1675,0.0142089,0.0398363
79.6214,0.0148243,0.0452943
84.3393,0.0178609,0.0433561
89.3367,0.0235241,0.0443266
94.6302,0.02239,0.0460552
100.237,0.0224284,0.0427968
106.177,0.0489495,0.0577051
112.468,0.0468222,0.0506998
119.132,0.078844,0.0747837
126.191,0.126849,0.112155
133.669,0.0219801,0.0439912
141.589,0.014027,0.0421903
149.979,0.0284318,0.0471119
158.866,0.0115059,0.0405631
168.279,0.0886153,0.0730119
178.25,0.139994,0.11035
188.812,0.0738449,0.0674193
200,0.0627796,0.0631789
211.851,0.0115324,0.0414045
224.404,0.0915516,0.0872351
237.7,0.0279511,0.0476264
251.785,0.0793195,0.0721724
266.704,0.0973087,0.0924792
282.508,0.0544965,0.0584824
299.247,0.0683578,0.0564974
316.979,0.162534,0.114337
335.761,0.230255,0.181675
355.656,0.167516,0.142777
376.73,0.22091,0.16644
399.052,0.258233,0.210505
422.698,0.266928,0.238231
447.744,0.23488,0.193737
474.275,0.217966,0.1924
502.377,0.0477447,0.0587481
532.145,0.227055,0.198185
563.677,0.132838,0.124868
597.077,0.236604,0.170647
632.456,0.312454,0.276175
669.931,0.263214,0.198072
709.627,0.0840604,0.085266
751.675,0.198787,0.1523
796.214,0.0711492,0.108977
843.393,0.226288,0.174595
893.367,0.0526795,0.0553482
946.302,0.255959,0.228363
1002.37,0.280807,0.22722
1061.77,0.157087,0.135786
1124.68,0.0837402,0.0929152
1191.32,0.201751,0.123705
1261.91,0.155658,0.131789
1336.69,0.218035,0.145566
1415.89,0.020268,0.0851985
1499.79,0.165358,0.0622725
1588.66,0.131883,0.0944549
1682.79,0.143577,0.104926
1782.5,0.211698,0.171579
1888.12,0.112105,0.0844742
2000,0.158443,0.123319
2118.51,0.105819,0.0943902
2244.04,0.169428,0.0863698
2377,0.0597698,0.0615105
2517.85,0.112406,0.0879255
2667.04,0.118666,0.0830296
2825.08,0.154099,0.0662005
2992.47,0.0801685,0.0788063
3169.79,0.102343,0.0725923
3357.61,0.0586573,0.063807
3556.56,0.0934171,0.0800262
3767.3,0.0570739,0.0650538
3990.52,0.0423934,0.0533971
4226.98,0.102929,0.0487764
4477.44,0.0503089,0.045068
4742.75,0.0676386,0.06451
5023.77,0.0520123,0.0723425
5321.45,0.0734045,0.165115
5636.77,0.0321332,0.0529424
5970.77,0.142156,0.124283
6324.56,0.0783384,0.162183
6699.31,0.0389696,0.183349
7096.27,0.0778098,0.0576439
7516.75,0.0247859,0.0442361
7962.14,0.0394957,0.047545
8433.93,0.0256088,0.0544675
8933.67,0.0187401,0.0498491
9463.03,0.0347097,0.0459222
10023.7,0.0309556,0.0473378
10617.7,0.0134556,0.0403858
11246.8,0.00454616,0.0426783
11913.2,0.0105322,0.0436109
12619.1,0.010697,0.0411238
13366.9,0.00436746,0.0399511
14158.9,0.00243771,0.0402683
14997.9,0.00354699,0.0413236
15886.6,0.00187759,0.0408283
16827.9,0.00479296,0.0411919
17825,0.00291507,0.0432421
18881.2,0.00188623,0.0400699
20000,0.0179282,0.0423766
